y,trend_1,trend_2,period7_seasonality,period12_seasonality,period30_seasonality,period52_seasonality,period365_seasonality
59.9622,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.235,7.098300000000002,0.0,0.0,0.0,0.0,0.0,0.0
78.112,7.174499999999995,0.0,0.0,0.0,0.0,0.0,0.0
84.7636,3.8769999999999953,0.07619999999999294,0.0,0.0,0.0,0.0,0.0
100.596,6.651600000000002,-3.2974999999999994,0.0,0.0,0.0,0.0,0.0
100.1263,15.832400000000007,2.7746000000000066,0.0,0.0,0.0,0.0,0.0
96.3607,-0.4697000000000031,9.180800000000005,59.9622,0.0,0.0,0.0,0.0
85.8007,-3.7656000000000063,-16.30210000000001,67.0605,0.0,0.0,0.0,0.0
70.3934,-10.559999999999988,-3.295900000000003,74.235,0.0,0.0,0.0,0.0
60.8072,-15.407300000000006,-6.794399999999982,78.112,0.0,0.0,0.0,0.0
58.6598,-9.586199999999998,-4.847300000000018,84.7636,0.0,0.0,0.0,0.0
61.0996,-2.1474000000000046,5.821100000000008,100.596,59.9622,0.0,0.0,0.0
72.2062,2.4398000000000053,7.438799999999993,100.1263,67.0605,0.0,0.0,0.0
80.0984,11.106599999999993,4.58720000000001,96.3607,74.235,0.0,0.0,0.0
83.9059,7.8922000000000025,8.666799999999988,85.8007,78.112,0.0,0.0,0.0
87.3712,3.8075000000000045,-3.2143999999999906,70.3934,84.7636,0.0,0.0,0.0
109.7467,3.465299999999999,-4.084699999999998,60.8072,100.596,0.0,0.0,0.0
107.3748,22.375500000000002,-0.3422000000000054,58.6598,100.1263,0.0,0.0,0.0
99.6631,-2.3719000000000108,18.910200000000003,61.0996,96.3607,0.0,0.0,0.0
91.6272,-7.711699999999993,-24.747400000000013,72.2062,85.8007,0.0,0.0,0.0
75.3049,-8.035899999999998,-5.339799999999983,80.0984,70.3934,0.0,0.0,0.0
65.9342,-16.3223,-0.3242000000000047,83.9059,60.8072,0.0,0.0,0.0
61.5304,-9.3707,-8.2864,87.3712,58.6598,0.0,0.0,0.0
62.9796,-4.403800000000004,6.951599999999999,109.7467,61.0996,0.0,0.0,0.0
75.3447,1.4491999999999976,4.966899999999995,107.3748,72.2062,0.0,0.0,0.0
84.2683,12.365100000000005,5.8530000000000015,99.6631,80.0984,0.0,0.0,0.0
84.5883,8.923599999999993,10.915900000000008,91.6272,83.9059,0.0,0.0,0.0
90.5395,0.3200000000000074,-3.441500000000012,75.3049,87.3712,0.0,0.0,0.0
109.9025,5.9512,-8.603599999999986,65.9342,109.7467,0.0,0.0,0.0
103.8903,19.363,5.631199999999993,61.5304,107.3748,59.9622,0.0,0.0
101.0265,-6.012200000000007,13.4118,62.9796,99.6631,67.0605,0.0,0.0
89.4762,-2.8637999999999977,-25.375200000000007,75.3447,91.6272,74.235,0.0,0.0
73.6952,-11.550299999999993,3.1484000000000094,84.2683,75.3049,78.112,0.0,0.0
